job_title,job_location,job_date_posted,job_qualifications,job_summary,job_description,job_education_experience,job_additional_qualifications
Senior Big Data Engineer,"Santa Clara Valley (Cupertino), California, United States",2022-06-08,"['Deep experience developing large scale distributed computing systems', 'In-depth knowledge and experience in one or more of the following technologies: Big Data ecosystem, Kafka, Distributed SQL Database (Snowflake, SingleStore), HBase, Cassandra, Spark, Flink, Trino, and Iceberg', 'Strong software development, problem-solving and debugging skills with experience in one or more of the following languages: Java, Python, Scala', 'Experience building cloud native platforms using containerization technologies like Kubernetes, docker, helm and well versed in AWS/GCP or Azure', 'Ideally 5+ years of validated experience in crafting, implementing and supporting highly scalable data pipelines systems with high volume of data', 'Adept at quickly grasping and distilling highly complex matters into clean, understandable solutions', 'Nice to have experience with data governance, security & Privacy tools like Apache Ranger, Apache Atlas', 'Nice to have experience with large data reporting and data visualization tools', 'Organized, detail oriented, and thorough in every undertaking', 'Ability to excel in a multi-functional team on high profile, critical projects', 'Ability to initiate and explore alternate technology and approaches to solving problems']","Imagine what you could do here. At Apple, new insights have a way of becoming extraordinary products, services, and customer experiences very quickly. Bring passion and dedication to your job and there's no telling what you could accomplish.

The people here at Apple don’t just build products — they create the kind of wonder that’s revolutionized entire industries. It’s the diversity of those people and their ideas that encourages the innovation that runs through everything we do, from amazing technology to industry-leading environmental efforts. Join Apple, and help us leave the world better than we found it.

Apple's Manufacturing Systems & Infrastructure (MSI) team is collecting, consolidating and tracking all manufacturing data for Apple’s products and modules worldwide. This data is used throughout the company and the product's lifecycle, from the very beginning, to validate that units being built are fully tested and of high quality before leaving the factory, all of the way through to warranty support for customers. Apple's MSI team is seeking someone who possesses a real passion for developing extraordinary products with a deep appreciation for user experience. We develop web applications, batch and streaming analytics solutions using Spring, Kafka, Hadoop, Spark, Flink, Trino and other innovative technologies in a large scale infrastructure. We are looking for a hard-working and result driven candidate to join us and work on some of the highly seen data projects in Operations organization!","In this role you will design and develop software architecture for large scale data pipelines to enable analytics and ML use cases at Apple Product Operations. Other responsibilities include crafting, developing and maintaining our large-scale data pipelines, storage, and processing services. You will build self-service analytics and ML tools to help engineering teams derive actionable metrics out of large volumes of raw data. You will partner with different Ops teams, data science and engineering teams and develop platforms/apps/algorithms to answer complex questions on quality of our products. You will work closely with the DevOps team and develop monitoring and alerting scripts on various web, data pipelines and jobs. You have the opportunity to learn and work on the latest Big Data technologies, lead POCs to demonstrate new ideas and influence the future direction of our technology stack. As well as review hardware infrastructure planning and provide support when required for software upgrades.","Bachelor’s degree in Computer Science, Engineering or equivalent experience",[]
Data Engineer,United States,2022-06-08,"['2+ years in demonstrated ability in developing ETL jobs for analyzing and processing high-volume data using Spark/Flink on AWS or similar cloud platform', 'Expert knowledge of one or more object-oriented programming languages (Scala/Java)', 'Proficient at schema design, data modeling concepts and SQL', 'Excellent problem-solving and analytic skills', 'Ability to program in scripting languages such as Java, Scala etc.', 'Experience with workflow management tools: Azkaban, Oozie, Airflow etc.', 'Experience using NoSQL/columnar solutions like Cassandra, MongoDB, Single store', 'Expert with streaming and batch data processing using Kafka or similar products', 'Ability to learn and research new technologies rapidly', 'Strong interpersonal skills and experience working on multi-functional projects', 'Developed large-scale backend storage systems', 'Good written and oral communication skills']","Imagine what you could do here. At Apple, extraordinary ideas have a way of becoming industry leading products, services, and customer experiences very quickly. Bring passion and dedication to your job and there's no telling what you could accomplish.  

The IS Data Services team is looking for a creative and motivated Database developer with excellent problem solving and interpersonal skills. The work we do here has a large impact on Apple. It enables our internal businesses to do their best work, & provide rich, engaging experiences to our customers and partners. 

We would love to hear from you if you're enthusiastic, highly motivated, and want to make an impact!

Open to relocation to:
Austin, TX
Elk Grove, CA 
Seattle, WA 
Dallas, TX
Denver, CO
Raleigh, NC","As a Software Developer you will be responsible for building the next generation of user experiences for various applications in IS Data services.

You will be challenged to find creative solutions to technical problems, feel comfortable working with complex systems and large data sets, collaborating in a global environment. 

Attention to detail and a dedication to deliver a high-quality product is essential. 

To be successful you are self-motivated; driven to exceed commitments. 

You also need to exude strong collaboration skills and possess a strong passion to work in a growing, energizing environment of innovation. If you want to be part of this amazing team, this position is for you. 

RESPONSIBILITIES OF THE POSITION: 
-  Demonstrate stateful and stateless data processing techniques to build and extend robust join and aggregation pipelines
-  Develop scalability and workload isolation strategies for multi-tenant real-time data processing systems
-  Evolve client-server architectures to improve the availability, performance and latency of our services
-  Partner with SRE to triage, investigate, and remediate production issues
-  message processing and data replication using queuing systems like Kafka etc.
-  Deep understanding of distributed system architecture patterns
-  Independently identify problems and drive team or organization-wide consensus on solutions","Bachelors degree with 2-4 years software development experience or Masters degree with 1-3 years software development experience, or equivalent.","['-  Knowledge of Database(Relational) Systems', '-  Additional understanding on Data Security is a plus', 'If you are a Colorado resident, this is for you:', 'At Apple, we see the whole you. We carefully consider a wide range of compensation factors, including your background and experience. These considerations can cause your compensation to vary. The Data Engineer position starts at a minimum annual salary of $107,500. The actual pay may be higher depending on your skills, qualifications, and experience. Additionally, this role might be eligible for discretionary bonuses or commission payments as well as relocation. Every Apple employee also has the opportunity to become an Apple shareholder, because all team members are eligible for stock grants and also a discount when purchasing Apple stock.', 'We offer all kinds of ways to experience well-being, confidence, and satisfaction. Learn more about Apple benefits.', 'Note: Apple benefits programs are subject to eligibility requirements.']"
Software Data Engineer - Analytics,"Santa Clara Valley (Cupertino), California, United States",2022-06-08,"['Self-starter who is dedicated and demonstrates creative and critical thinking abilities', 'Experience in developing product features, functional specifications, and development schedules, represent team and technology', 'Experience in data modeling and data engineering and analytics experience', 'Experience in data management and automation on Spark, Hadoop, and HDFS environments', 'Experience handling data in relational databases and developing ETL pipelines', 'Competency in Java, Scala, Python or similar object-oriented language', 'Confidence with SQL databases and NoSQL databases like Cassandra', 'Experience in Tableau or Splunk or ELK Stack or Airflow', 'Ability to independently learn new technologies', 'Excellent debugging, critical thinking, and interpersonal skills', 'Attention to detail']","Are you a fearless thinker? Do you love the challenge of advancing a widely accepted technology? In the Wireless Software group, you’ll be responsible for bringing groundbreaking wireless connectivity to the world through Wi-Fi, Bluetooth, GPS, and more. You’ll design, develop, and patent the next generation of our state-of-the art connectivity technologies. You’ll collaborate across departments to help craft wireless solutions that elevate the customer experience with Apple products and services. Our goal is to ensure nothing stands in the way of our customers’ connections with their devices. If you join us, you’ll help build world-renowned wireless systems so seamless that they almost feel like magic. 

In this role you will work with various teams to deliver data, dashboards, and insightful performance-optimized analysis to facilitate business decisions. You’ll work with partners to understand their goals and requirements to define application features and strategic roadmaps to meet those needs.","This Role provides analytics for various internal programs and prototypes to support organization in data informed decisions. This role will require working with multiple large data sets, working knowledge of ETL, visualization tools like Tableau. You will engage directly with key business partners to build positive relationships and understand their business strategies and solution needs. Strong understanding of analytics needs and a proactive approach, focusing on reusable solutions to improve the efficiency and collaborate with multiple multi-functional teams and work on solutions which has larger impact on Apple business","MS or BS in CS, Engineering, Math, Statistics, or a related field or equivalent practical experience in data engineering.","['Understanding in big data pipelines using technologies like Kafka, Flume, or Storm', 'Experience with large scale data warehousing, mining or analytic systems', 'Machine learning is a plus…']"
"Sr. Data Engineer - Infrastructure, Apps Team","San Diego, California, United States",2022-06-07,"['5+ years of industry experience', '5+ years experience developing in Java', 'Proficiency with large scale data processing technologies such as Hadoop and Spark', 'Experience building data pipelines, micro-services, tools using Java, Python', 'Experience building scalable backend services on platforms like Kubernetes, Kafka using cloud providers such as AWS', 'Experience building stable and scalable server-side systems using distributed processing algorithms', 'Experience building web frontend using Django/React is a great plus', 'Proficiency with good data analytics skills is a great plus', 'Aptitude to independently learn new technologies', 'Strong communication and team collaboration skills']","Imagine what you could do here. At Apple, new ideas have a way of becoming extraordinary products, services, and customer experiences very quickly. Bring passion and dedication to your job and there's no telling what you could accomplish.

The Apple Apps team is looking for a Sr. Data Engineer who has a passion for building scalable services to enable an outstanding user experience that delight millions of users every day. You'll be responsible for building features and infrastructure for upcoming releases of the services.","Our team is seeking a high-energy and self-driven Data Engineer who will play a central role in the delivery of scalable services. As a member of our dynamic group, you’ll have the extraordinary and rewarding opportunity to craft upcoming products that will delight and inspire millions of Apple’s customers every single day. 

RESPONSIBILITIES
-  Design, develop and deploy systems and algorithms that process large data sets

-  Design and build stable and scalable production systems

-  Design and develop services using technologies such as Hadoop, Spark, Kafka, kubernetes, AWS, Postgres

-  Collaborate with engineering and operations teams to deliver scalable, robust, and high-performance systems",BS in Computer Science or Equivalent,[]
Maps Senior Evaluation Data Engineer,"Seattle, Washington, United States",2022-06-07,"['Passion for building reliable, stable and fast data products that serve customer needs', '4+ years tech lead experience', '8+ years of experience in working with large data sets, schema design and dimensional modeling', '8+ years of experience in data warehousing and ETL', 'Experience with some or all of the following Amazon EMR, Amazon S3, Amazon RDS, Athena, Glue, DynamoDB, Lambda and other services of the AWS family', 'Experience in Java or Scala and Python', 'Expertise in working with SQL', 'Experience with data processing using Spark, Hadoop, MapReduce and SparkSQL']","Apple Maps Evaluation team is looking for experienced Data Engineers to join our Data Science Platform team. 

We partner closely with Data Scientists, Program Managers and Product Analysts to measure and improve Apple Maps user experience. You will work with some of the most unique and interesting data sets in the world including: geospatial data, GPS probe data, search logs, real time traffic data, and A/B experiments data.

For this role you will be focusing on data science applications and related projects to deal with Maps data at massive scale. Our goals are to:
1) empower our partners in the data science team by building applications and pipelines to support their needs and
2) engineer solutions to guarantee discoverable, accurate and compliant management of data

We are looking for data engineers who love to work closely with their customers and who are excited to solve challenges around data discoverability and management.","- Partner with Apple Maps Program, Data Science and Engineering teams to understand data 
   needs

- Advocate for Apple customers, with a strong focus on privacy

- Architect and develop new data processing systems to enable quick and easy consumption and 
  augmentation of data

- Design, build and launch efficient and reliable data platforms

- Onboard production data platforms onto cloud technologies

- Create data models for optimal storage and retrieval

- Build data expertise and streamline routine analytics tasks","- Bachelors or Masters degree in Computer Science or related field, or relevant industry 
   experience preferred","['Apple’s most important resource, our soul, is our people. Apple benefits help further the well-being of our employees and their families in meaningful ways. No matter where you work at Apple, you can take advantage of our health and wellness resources and time-away programmes. We’re proud to provide stock grants to employees at all levels of the company, and we also give employees the option to buy Apple stock at a discount — both offer everyone at Apple the chance to share in the company’s success. You’ll discover many more benefits of working at Apple, such as programmes that match your charitable contributions, reimburse you for continuing your education and give you special employee pricing on Apple products.', 'Apple benefits programmes vary by country and are subject to eligibility requirements.', 'Apple is an equal opportunity employer that is committed to inclusion and diversity. We take affirmative action to ensure equal opportunity for all applicants without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, Veteran status, or other legally protected characteristics. Apple is committed to working with and providing reasonable accommodation to applicants with physical and mental disabilities. Apple is a drug-free workplace']"
"Data Engineer, Maps Eval Metrics","Santa Clara Valley (Cupertino), California, United States",2022-06-03,"['Excellent programming skills, preferably in Python.', 'Experience in a big data processing framework such as Spark.', 'Background includes at least one database system (e.g., PostgreSQL).', 'Strong communication skills and be adaptive for changing requirements and tech stack.', 'Nice-to-have Experience', 'Prior industry experience in developing data application at web scale, but will consider talented and enthusiastic new graduates with relevant internships or coursework.', 'Basic knowledge in Scala or Java for Spark data pipelines.', 'Experience in developing user-friendly libraries to automate analytic tasks at scale.', 'Familiar with the software ecosystem for big data analytics and business intelligence.', 'Basic knowledge in backend web development such as Flask, FastAPI.', 'Experience with cloud computing environment such as AWS or GCP.']","Apple Maps is changing, and data is in the driverʼs seat. Our mission is to build the best map in the world. We are looking for a talented software/data engineer to join our cross-functional data science team, focusing on the deep evaluation of Maps services and features. We work directly with the Engineering and Product teams responsible for quantifying, measuring, and monitoring usage and user experiences across Maps platform. Our day-to-day work crosses many functional areas, including experiment design, AB testing, exploratory data analysis, generative analytics, and more. This role is great for a hybrid data scientist / data engineer, or a software engineer who is looking to have a big impact while also having space to learn more about data science.","You'll build data products and tools to support collaborative decision-making with our partner teams in engineering and product management. You're willing to learn fast, and adapt well to changing requirements and new technology stacks. Example projects include: building and managing high-quality data tables, pipelines and APIs from various sources including both big data at web scale as well as small curated data sets. Developing libraries to automate analysis tasks and enable data scientists to extract insight from data in scale. Identifying optimization opportunities (e.g. improving query speed, reducing memory or storage) in our data systems, and implementing those enhancements. Integrating various tools and services and provide uniform and easy access to data scientists and other partner teams.","Bachelor or advanced degrees in Computer Science, Statistics, Physics, Operations Research, or similar quantitative domain.",[]
Software Data Engineer - Analytics,"Santa Clara Valley (Cupertino), California, United States",2022-06-03,"['-  Self-starter who is dedicated and demonstrates creative and critical thinking abilities', '-  Experience in developing product features, functional specifications, and development schedules, represent team and technology', '-  Experience in data modeling and data engineering and analytics experience', '-  Experience in data management and automation on Spark, Hadoop, and HDFS environments', '-  Experience handling data in relational databases and developing ETL pipelines', '-  Competency in Java, Scala, Python or similar object-oriented language', '-  Confidence with SQL databases and NoSQL databases like Cassandra', '-  Experience in Tableau or Splunk or ELK Stack or Airflow', '-  Ability to independently learn new technologies', '-  Excellent debugging, critical thinking, and interpersonal skills', '-  Attention to detail']","Are you a fearless thinker? Do you love the challenge of advancing a widely accepted technology? In the Wireless Software group, you’ll be responsible for bringing groundbreaking wireless connectivity to the world through Wi-Fi, Bluetooth, GPS, and more. You’ll design, develop, and patent the next generation of our state-of-the art connectivity technologies. You’ll collaborate across departments to help craft wireless solutions that elevate the customer experience with Apple products and services. Our goal is to ensure nothing stands in the way of our customers’ connections with their devices. If you join us, you’ll help build world-renowned wireless systems so seamless that they almost feel like magic. 

In this role you will work with various teams to deliver data, dashboards, and insightful performance-optimized analysis to facilitate business decisions. You’ll work with partners to understand their goals and requirements to define application features and strategic roadmaps to meet those needs.","This Role provides analytics for various internal programs and prototypes to support organization in data informed decisions. This role will require working with multiple large data sets, working knowledge of ETL, visualization tools like Tableau. You will engage directly with key business partners to build positive relationships and understand their business strategies and solution needs. Strong understanding of analytics needs and a proactive approach, focusing on reusable solutions to improve the efficiency and collaborate with multiple multi-functional teams and work on solutions which has larger impact on Apple business","MS or BS in CS, Engineering, Math, Statistics, or a related field or equivalent practical experience in data engineering.","['Understanding in big data pipelines using technologies like Kafka, Flume, or Storm Experience with large scale data warehousing, mining or analytic systems Machine learning is a plus……']"
Big Data Engineer - Wallet & Apple Pay - Austin,"Austin, Texas, United States",2022-06-02,"['5+ years of professional experience with Big Data systems, pipelines and data processing', 'Practical hands-on experience with technologies like Apache Hadoop, Apache Pig, Apache Hive, Apache Sqoop & Apache Spark', 'Ability to understand API Specs, identify relevant API calls , extract data and implement data pipelines & SQL-friendly data structures', 'Identify Data Validation rules and alerts based on data publishing specifications for data integrity and anomaly detection', 'Understanding on various distributed file formats such as Apache AVRO, Apache Parquet and common methods in data transformation', 'Expertise in Python, Unix Shell scripting and Dependency driven job schedulers', 'Expertise in Core JAVA, Oracle, Teradata and ANSI SQL', 'Familiarity with rule based tools and APIs for multi stage data correlation on large data sets is a plus']","Looking for hardworking, passionate and results-oriented individuals to join our team to build data foundations and tools to craft the future of commerce and Apple Pay. You will design and implement scalable, extensible and highly-available data pipelines on large volume data sets, that will enable impactful insights & strategy for payment products. Our culture is about getting things done iteratively and rapidly, with open feedback and debate along the way; we believe analytics is a team sport, but we strive for independent decision-making and taking smart risks. Our team collaborates deeply with partners across product and design, engineering, and business teams: our mission is to drive innovation by providing the business and data scientist partners outstanding systems to make decisions that improve the customer experience of using our services. This will include using large and complex data sources, helping derive measurable insights, delivering dynamic and intuitive decision tools, and bringing our data to life via amazing visualizations.

Collaborating with the head of Wallet Payments & Commerce Data Engineering & BI, this person will collaborate with various data analysts, instrumentation specialists and engineering teams to identify requirements that will derive the creation of data pipelines. You will work closely with the application server engineering team to understand the architecture and internal APIs involved in upcoming and ongoing projects related to Apple Pay. We are seeking an outstanding person to play a pivotal role in helping the analysts & business users make decisions using data and visualizations. You will partner with key players across the engineering, analytics & business teams as you design and build query friendly data structures.

The ideal candidate is a self-motived teammate, skilled in a broad set of data processing techniques with the ability to adapt and learn quickly, provide results with limited direction, and choose the best possible data processing solution is a must.","Translate business requirements by business team into data and engineering specifications

Build scalable data sets based on engineering specifications from the available raw data and derive business metrics/insights

Understand and Identify server APIs that needs to be instrumented for data analytics and align the server events for execution in already established data pipelines

Explore and understand sophisticated data sets, identify and formulate correlational rules between heterogenous sources for effective analytics and reporting

Process, clean and validate the integrity of data used for analysis

Develop Python and Shell Scripts for data ingestion from external data sources for business insights","Minimum of bachelor’s degree, preferably in Computer Science, Information Technology or EE, or relevant proven experience is preferred",[]
Senior Health Research Data Engineer,"Santa Clara Valley (Cupertino), California, United States",2022-05-31,"['Enthusiasm for and experience working with data', 'Excellent programming skills in both Scala and Python, along with proficiency in SQL', 'Solid understanding of fundamental Computer Science concepts', 'Background in data pipelining, distributed data processing, and data modeling', 'Experience with Spark preferred but not required', 'Creative and strong problem solver with meticulous attention to detail', 'Ability to investigate and debug difficult problems', 'Experience tracking or measuring data quality for usage analytics, manufacturing, scientific research, or similar', 'Highly organized, creative, motivated, and passionate about achieving results', 'Excellent interpersonal skills and ability to work well with all levels of engineers by listening, communicating clearly, and actively sharing knowledge', '4+ years of technical industry experience']","At Apple, we want to make great products that empower people to improve their health. We are seeking an energetic and self-sufficient software engineer to join Apple’s Health Research Applications team to help us collect the data we need to improve existing health experiences, as well as create new ones. You will focus on data pipelines and data quality, building software to track and measure the quality of the data we will collect, and ensure it meets all stakeholders' expectations and Apple standards both before and after we ship. As a member of our fast-paced group, you will not only have the unique and rewarding opportunity to accelerate upcoming features that will delight and inspire millions of Apple's customers every day, but also contribute to applied health research by Apple and our academic partners.","Apple's Health Research Applications team is seeking a senior Data Engineer to build our core data processing pipelines and further our data quality efforts. We need to reliably produce well understood data streams. You will focus on core tools, frameworks, and patterns that will enable the whole team to meet our data quality and monitoring goals. In addition to using technical knowledge to drive features and improvements, you must be comfortable with rapidly evolving requirements, and have excellent interpersonal skills. Success depends on working with cross-functional teams.

As a member of the team you’ll have the opportunity to work with experts in their field to expand the functionality of the Research app, the Health app and other health features on iOS and Apple Watch and support the broader health related efforts at Apple. This position requires a self-motivated engineer with strong technical and communication skills to handle responsibilities including:
-Building high-quality data products that have great documentation and are easy to use
-Developing new frameworks and tools to support the team in managing data parsing and processing, as well as data quality
-Participating in architecture and code reviews
-Maintain relentless focus on performance, usability, and quality
-Communicating ideas and best practice to cross functional teams
-Working with subject matter experts to define data quality expectations for new streams
-Implementing core data quality metrics and monitoring to track whether those expectations are being consistently met
-Mentorship, including breaking down complex ideas and concepts for others","BS degree in Computer Science or related field, or equivalent work experience.",[]
Data Engineer - Home Services Intelligence,"San Diego, California, United States",2022-05-31,"['Experience crafting, conducting, analyzing, and interpreting experiments and investigations on large datasets.', 'Strong programming skills, including data-querying skills (SQL and/or Spark, etc.) and experience with a scripting language for data processing and development (e.g., Python, R, or Scala).', 'Proficiency in data science, machine learning, and analytics, including statistical data analysis', 'Ability to break down larger, complex problems in to smaller deliverables', 'Ability to naturally articulate complex technical concepts to everyone from data scientists to engineers to business partners', 'Passion for people, engineering, and improving our future', 'PREFERRED QUALIFICATIONS (not a requirement)', 'Hands-on experience working with deep learning toolkits such as Tensorflow, PyTorch, or Keras']","The people here at Apple don’t just craft products - they build the kind of wonder that’s revolutionized entire industries. We believe that it’s the diversity of those people and their ideas that encourage the innovation that runs through everything we do, from amazing technology to industry-leading privacy and environmental efforts. Join Apple and help us leave the world better than we found it! One way we are making the world better is our Apple 2030 initiative. Apple 2030 commits Apple to become carbon neutral across its entire business, manufacturing supply chain and product life cycle by 2030, including the electricity used to power Apple devices.   

We are looking for a data engineer to help analyze and build the vital data pipelines to combat climate change and help us meet our company goals. Come investigate emerging technologies and develop next-generation products. The ideal candidate thrives in ambiguity and is passionate about creating new products with meaningful and disruptive impact to the world.","As part of the Home Services Intelligence team, you will have the opportunity to explore and contribute to Apple goals of building a better future. You will be responsible for driving and defining and prototype analysis pipelines and iteratively provide insights at scale. You will build predictive models and distributed control systems. You will work closely with engineers and product teams to design, assess and deliver features for the home. Every day, you will work with passionate problem solvers, designing and building impactful, outstanding features for one of Apple's most innovative spaces.  

Apple is committed to creating a diverse working environment for everyone and is proud to be an equal opportunity employer. All applicants will receive consideration for employment without regard to race, color, religion, gender, sexual orientation, national origin, disability, age, veteran or immigrant status.","5+ years relevant industry experience in Data Engineering, Data Analysis & Analytics, Artificial Intelligence, Machine Learning, or related technical field.",[]
